企業名,対策,CV_F1スコア,テスト_F1スコア,テスト_精度,テスト_適合率,テスト_再現率,テスト_AUC,バランススコア,訓練参加率,テスト参加率,予測参加率,モデルファイル
飯伊森林組合,SMOTE,0.998389694041868,1.0,1.0,1.0,1.0,1.0,1.0,0.025923016496465043,0.0219435736677116,0.0219435736677116,飯伊森林組合_smote_xgboost.pkl
長野機材（株）,SMOTE,0.9935234924399782,0.9230769230769231,0.9968652037617555,1.0,0.8571428571428571,0.9935897435897436,0.8571428571428571,0.029850746268656716,0.0219435736677116,0.018808777429467086,長野機材(株)_smote_xgboost.pkl
矢木コーポレーション（株）,SMOTE,0.9959170216388821,0.9,0.9937304075235109,0.9,0.9,0.996116504854369,0.9,0.0384917517674784,0.03134796238244514,0.03134796238244514,矢木コーポレーション(株)_smote_xgboost.pkl
小木曽建設（株）,重み調整,0.7983159661241853,0.8135593220338984,0.9655172413793104,0.8275862068965517,0.8,0.9661476355247982,0.8,0.09190887666928516,0.09404388714733543,0.09090909090909091,小木曽建設(株)_smote_xgboost.pkl
北沢建設（株）,標準,0.707881104906693,0.7547169811320755,0.9184952978056427,0.7017543859649122,0.8163265306122449,0.9410808767951625,0.7017543859649122,0.14925373134328357,0.1536050156739812,0.1786833855799373,北沢建設(株)_smote_xgboost.pkl
南信土木建築（有）,重み調整,0.615328193464868,0.6666666666666666,0.8871473354231975,0.631578947368421,0.7058823529411765,0.9364940005853086,0.631578947368421,0.1406127258444619,0.15987460815047022,0.1786833855799373,南信土木建築(有)_smote_xgboost.pkl
（有）竹村工務所,SMOTE,0.9799955527877101,0.631578947368421,0.9780564263322884,0.8571428571428571,0.5,0.9332247557003257,0.5,0.04399057344854674,0.03761755485893417,0.0219435736677116,(有)竹村工務所_smote_xgboost.pkl
木下建設（株）,重み調整,0.6248729764858797,0.6067415730337079,0.890282131661442,0.5192307692307693,0.7297297297297297,0.9014759440291356,0.5192307692307693,0.10054988216810684,0.11598746081504702,0.16300940438871472,木下建設(株)_smote_xgboost.pkl
大平建設（株）,SMOTE,0.9902941982197371,0.6,0.9749216300940439,0.6,0.6,0.9741100323624595,0.6,0.028279654359780047,0.03134796238244514,0.03134796238244514,大平建設(株)_smote_xgboost.pkl
（株）清信建設興業,重み調整,0.5372252442205807,0.5977011494252874,0.890282131661442,0.49056603773584906,0.7647058823529411,0.9347265221878225,0.49056603773584906,0.08719560094265515,0.10658307210031348,0.16614420062695925,(株)清信建設興業_smote_xgboost.pkl
