No,入札方式,工種（業種）,資格点数,予定価格（税抜）,工事概要（業務概要）,発注機関,工事場所,指名業者・応札業者
1,総合評価,とび・土工・コンクリート工事,756.0,45090000,山腹工 土留工 実播工 伏工,南信州地域振興局,天龍村,（株）金田組
2,総合評価,土木一式工事,942.0,87980000,谷止工,南信州地域振興局,飯田市,吉川建設（株）、北沢建設（株）、（株）カリス、小池建設（株）、（株）トライネット、勝間田建設（株）
3,受注希望,土木一式工事,644.0,非公開,土止工,南信州地域振興局,下伊那郡大鹿村,
4,総合評価,土木一式工事,807.0,55540000,山腹工 土留工 実播工,南信州地域振興局,飯田市,細澤建設（株）
5,受注希望,とび・土工・コンクリート工事,,3910000,法面吹付工,飯田建設事務所,下伊那郡天龍村,（株）イケガミ、（有）福士組、（有）新野工務店
6,受注希望,とび・土工・コンクリート工事,,3700000,樹木除去工 堆積土除去工,飯田建設事務所,下伊那郡天龍村,（株）金田組、（株）イケガミ、（有）福士組、（有）新野工務店
7,受注希望,土木一式工事,731.0,25620000,道路拡幅工 補強土壁工,飯田建設事務所,下伊那郡松川町,
8,受注希望,とび・土工・コンクリート工事,846.0,50860000,法面対策工 繊維補強モルタル吹付工 法枠工,飯田建設事務所,下伊那郡阿南町,
9,受注希望,とび・土工・コンクリート工事,846.0,68030000,斜面対策工 斜面補強土工,飯田建設事務所,飯田市,伊賀良建設（株）、木下工業（株）、（株）清信建設興業、（株）片桐工務所、藤井興業（株）、（株）トライネット、勝間田建設（株）、長豊建設（株）、池田建設（株）、長野機材（株）、小池建設（株）、阿智工務店（株）、（株）三六組、三建建設（有）、（株）カリス、（株）アスピア、（株）岡谷組、神稲建設（株）、北沢建設（株）、南信土木建築（有）
10,受注希望,とび・土工・コンクリート工事,846.0,69240000,斜面対策工 斜面補強土工,飯田建設事務所,飯田市,伊賀良建設（株）、（株）清信建設興業、木下工業（株）、藤井興業（株）、（株）トライネット、勝間田建設（株）、長豊建設（株）、池田建設（株）、長野機材（株）、（株）片桐工務所、小池建設（株）、阿智工務店（株）、（株）三六組、三建建設（有）、（株）カリス、（株）アスピア、（株）岡谷組、神稲建設（株）、北沢建設（株）、南信土木建築（有）
11,受注希望,とび・土工・コンクリート工事,846.0,69060000,法面対策工 高エネルギー吸収型落石防護網工 モルタル吹付工 吹付法枠工,飯田建設事務所,下伊那郡阿南町,南信土木建築（有）、（株）トライネット、藤井興業（株）、阿智工務店（株）、北沢建設（株）、池田建設（株）
12,受注希望,とび・土工・コンクリート工事,846.0,50210000,法面対策工 繊維補強モルタル吹付工 落石防護網工,飯田建設事務所,下伊那郡平谷村から飯田市,
13,総合評価,とび・土工・コンクリート工事,846.0,100220000,落石防護柵工 ロープ伏工,飯田建設事務所,飯田市,勝間田建設（株）、長豊建設（株）、小池建設（株）、（株）カリス、木下建設（株）、北沢建設（株）
14,受注希望,とび・土工・コンクリート工事,846.0,非公開,法面対策工 繊維補強モルタル吹付工,飯田建設事務所,下伊那郡阿南町,
15,総合評価,とび・土工・コンクリート工事,846.0,124040000,法面対策工 繊維補強モルタル吹付工 法枠工 落石防護網工,飯田建設事務所,下伊那郡阿南町,伊賀良建設（株）、阿智工務店（株）、（株）シノダ、（株）清信建設興業、木下工業（株）、勝間田建設（株）、木下建設（株）、（株）トライネット、（株）カリス、北沢建設（株）
16,受注希望,ほ装工事,,2350000,道路工,南信州地域振興局,下伊那郡高森町,神稲建設（株）、小池建設（株）、（有）北原土木、（有）畑中工務所、太田土建（有）、（有）代田工業、木下建設（株）、小木曽建設（株）、高本建設（株）、（有）宮澤組
17,受注希望,土木一式工事,731.0,14990000,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,（株）近藤工務店
